#Tot,StNr,Naam,MV,#MV,Cat,#Cat,Zwem,Wis1,Fiets,NaFiets,Wis2,Loop,Totaal
188,23,Manon Groen,V,42,V20,24,14:28,2:15,40:03:00,56:45:00,3:47,25:47:00,1:26:18
189,68,Larissa José Vermaning,V,43,V20,25,12:12,1:35,40:47:00,54:32:00,2:19,29:32:00,1:26:22
190,246,Sander van Gelderen,M,147,M41,42,14:54,2:46,40:43:00,58:22:00,2:08,26:29:00,1:26:58
191,221,Stan Berghuis,M,148,M20,62,,,,,,,1:27:00
192,57,Pien Ruiter,V,44,V20,26,14:24,2:02,38:03:00,54:29:00,2:40,30:16:00,1:27:24
193,303,Brian Otjes,M,149,M20,63,11:00,3:16,41:27:00,55:41:00,3:03,29:02:00,1:27:46
194,69,Mirjam Vertelman,V,45,V41,11,13:45,1:54,40:43:00,56:21:00,3:03,28:32:00,1:27:55
195,215,jeroen bakker,M,150,M51,28,13:18,2:31,45:00:00,1:00:48,2:19,25:06:00,1:28:12
196,38,Anne Kriege,V,46,V20,27,13:06,3:12,41:40:00,57:57:00,2:36,27:52:00,1:28:24
197,101,Tom Berghout,M,151,Jun,14,15:41,2:41,41:34:00,59:55:00,1:31,27:04:00,1:28:28
198,55,Miranda Rienks-Schenk,V,47,V41,12,13:27,2:11,42:15:00,57:52:00,2:47,28:14:00,1:28:52
199,32,Danielle Jissink,V,48,V20,28,14:51,2:40,43:12:00,1:00:42,2:47,25:25:00,1:28:53
200,35,Lia Koedijk,V,49,V61,3,16:08,2:08,42:25:00,1:00:39,2:49,25:29:00,1:28:56
201,17,Isa Brandsen,V,50,V20,29,10:48,1:53,39:44:00,52:24:00,2:43,33:59:00,1:29:05
202,111,Luuk Muizelaar,M,152,Jun,15,17:18,2:41,39:50:00,59:48:00,1:38,28:35:00,1:30:01
203,42,Marije Kuijpers-Bootsma,V,51,V20,30,17:55,2:34,41:58:00,1:02:26,2:56,25:38:00,1:30:59
204,7,Maud Bakker,V,52,V20,31,14:02,2:42,42:50:00,59:33:00,2:25,29:15:00,1:31:11
205,22,Lisette Eigenraam,V,53,V41,13,15:46,3:12,43:41:00,1:02:38,2:59,25:40:00,1:31:16
206,268,André Kamp,M,153,M51,29,16:07,2:53,42:11:00,1:01:10,2:32,27:49:00,1:31:30
207,31,Loes Hollenberg,V,54,V20,32,14:34,2:41,41:41:00,58:56:00,3:00,30:02:00,1:31:57
208,217,Lucas Beentjes,M,154,M20,64,12:46,3:10,45:00:00,1:00:55,2:08,29:55:00,1:32:58
209,66,Babs Vendrig,V,55,V20,33,17:07,1:56,41:15:00,1:00:17,2:33,30:54:00,1:33:43
210,26,Margriet Haakma,V,56,V41,14,14:34,3:26,44:55:00,1:02:55,3:02,28:46:00,1:34:42
211,10,Iris Beets,V,57,V20,34,16:16,2:09,42:27:00,1:00:50,2:51,31:02:00,1:34:43
212,13,Annelies De Blok,V,58,V20,35,15:57,1:49,42:59:00,1:00:44,3:34,30:28:00,1:34:45
213,33,Irene van kampen,V,59,V20,36,14:27,2:58,42:53:00,1:00:17,3:11,31:23:00,1:34:50
214,349,Remco De Veer,M,155,M20,65,16:25,3:51,41:57:00,1:02:11,2:51,33:10:00,1:38:10
215,102,Inge van Dijk,V,60,Jun,16,17:19,2:17,46:50:00,1:06:26,1:38,31:25:00,1:39:29
216,270,Rick de Keijser,M,156,M20,66,20:17,3:40,46:30:00,1:10:26,2:32,31:00:00,1:43:57
217,47,Fonda Pool,V,61,V41,15,19:53,3:37,47:58:00,1:11:27,3:55,33:30:00,1:48:51
DNF,313,Niels Romein,M,DNF,M41,DNF,9:12,2:14,35:17:00,46:41:00,5:33,,52:13:00
DNF,234,Co van Bueren,M,DNF,M41,DNF,10:37,1:23,38:37:00,50:35:00,23:02,,1:13:37
DNF,14,Maartje de Boer,V,DNF,V20,DNF,11:56,1:53,35:30:00,49:18:00,,,49:18:00
DNF,226,John de Boer,M,DNF,M61,DNF,24:45:00,,,,,,24:45:00
DQ,9,Noortje Beentjes,V,DQ,Jun,DQ,12:13,4:15,39:42:00,56:08:00,3:02,21:13,1:20:22
DQ,21,Marieke de Dood,V,DQ,V20,DQ,14:36,2:29,38:06:00,55:09:00,2:37,25:10:00,1:22:56
DQ,36,Annemiek Konijn,V,DQ,V61,DQ,15:10,2:15,38:18:00,55:42:00,2:33,25:40:00,1:23:54
